# Drone Fire Fighting System Performance Metrics
# Created: 2025-04-06 19:11:08.466
# Format: timestamp,event_type,zone_id,value,details
# -------------------------------------------------------
2025-04-06 19:11:08.495,STATE_CHANGE,-1,0.000,drone=drone7,state=EnRoute
2025-04-06 19:11:08.501,STATE_CHANGE,-1,0.000,drone=drone6,state=EnRoute
2025-04-06 19:11:08.503,STATE_CHANGE,-1,0.000,drone=drone10,state=EnRoute
2025-04-06 19:11:08.504,FIRE_START,12,0.000,severity=High
2025-04-06 19:11:08.505,FIRE_START,12,0.000,severity=High
2025-04-06 19:11:08.507,RESPONSE_TIME,12,0.001,drone=drone6
2025-04-06 19:11:08.508,FIRE_START,12,0.000,severity=High
2025-04-06 19:11:08.509,DRONE_ASSIGNED,12,3.000,drone=drone10
2025-04-06 19:11:08.511,DRONE_ASSIGNED,12,2.000,drone=drone6
2025-04-06 19:11:08.514,DRONE_ASSIGNED,12,1.000,drone=drone7
2025-04-06 19:11:09.281,STATE_CHANGE,-1,0.000,drone=drone5,state=EnRoute
2025-04-06 19:11:09.282,FIRE_START,3,0.000,severity=Low
2025-04-06 19:11:09.283,RESPONSE_TIME,3,0.001,drone=drone5
2025-04-06 19:11:09.285,DRONE_ASSIGNED,3,1.000,drone=drone5
2025-04-06 19:11:10.292,STATE_CHANGE,-1,0.000,drone=drone4,state=EnRoute
2025-04-06 19:11:10.293,STATE_CHANGE,-1,0.000,drone=drone3,state=EnRoute
2025-04-06 19:11:10.295,FIRE_START,2,0.000,severity=Moderate
2025-04-06 19:11:10.296,FIRE_START,2,0.000,severity=Moderate
2025-04-06 19:11:10.297,RESPONSE_TIME,2,0.002,drone=drone4
2025-04-06 19:11:10.298,DRONE_ASSIGNED,2,1.000,drone=drone3
2025-04-06 19:11:10.307,DRONE_ASSIGNED,2,2.000,drone=drone4
2025-04-06 19:11:11.310,STATE_CHANGE,-1,0.000,drone=drone2,state=EnRoute
2025-04-06 19:11:11.311,FIRE_START,1,0.000,severity=High
2025-04-06 19:11:11.313,RESPONSE_TIME,1,0.002,drone=drone2
2025-04-06 19:11:11.315,DRONE_ASSIGNED,1,1.000,drone=drone2
2025-04-06 19:11:11.332,STATE_CHANGE,-1,0.000,drone=drone1,state=EnRoute
2025-04-06 19:11:11.334,FIRE_START,1,0.000,severity=High
2025-04-06 19:11:11.335,DRONE_ASSIGNED,1,1.000,drone=drone1
2025-04-06 19:11:11.349,STATE_CHANGE,-1,0.000,drone=drone9,state=EnRoute
2025-04-06 19:11:11.351,FIRE_START,1,0.000,severity=High
2025-04-06 19:11:11.353,DRONE_ASSIGNED,1,1.000,drone=drone9
2025-04-06 19:11:12.337,STATE_CHANGE,-1,0.000,drone=drone8,state=EnRoute
2025-04-06 19:11:12.338,FIRE_START,8,0.000,severity=High
2025-04-06 19:11:12.339,RESPONSE_TIME,8,0.002,drone=drone8
2025-04-06 19:11:12.340,DRONE_ASSIGNED,8,1.000,drone=drone8
2025-04-06 19:11:15.723,STATE_CHANGE,-1,0.000,drone=drone2,state=DroppingAgent
2025-04-06 19:11:15.725,AGENT_DROP,1,0.000,drone=drone2
2025-04-06 19:11:15.730,STATE_CHANGE,-1,0.000,drone=drone2,state=ArrivedToBase
2025-04-06 19:11:15.792,STATE_CHANGE,-1,0.000,drone=drone9,state=DroppingAgent
2025-04-06 19:11:15.795,STATE_CHANGE,-1,0.000,drone=drone1,state=DroppingAgent
2025-04-06 19:11:15.796,AGENT_DROP,1,0.000,drone=drone1
2025-04-06 19:11:15.798,AGENT_DROP,1,0.000,drone=drone9
2025-04-06 19:11:15.800,STATE_CHANGE,-1,0.000,drone=drone1,state=ArrivedToBase
2025-04-06 19:11:15.801,FIRE_EXTINGUISHED,1,4.448,drones_used=1
2025-04-06 19:11:15.803,STATE_CHANGE,-1,0.000,drone=drone9,state=ArrivedToBase
2025-04-06 19:11:20.010,STATE_CHANGE,-1,0.000,drone=drone3,state=DroppingAgent
2025-04-06 19:11:20.012,AGENT_DROP,2,0.000,drone=drone3
2025-04-06 19:11:20.013,STATE_CHANGE,-1,0.000,drone=drone3,state=ArrivedToBase
2025-04-06 19:11:20.025,STATE_CHANGE,-1,0.000,drone=drone4,state=DroppingAgent
2025-04-06 19:11:20.027,AGENT_DROP,2,0.000,drone=drone4
2025-04-06 19:11:20.036,FIRE_EXTINGUISHED,2,9.741,drones_used=2
2025-04-06 19:11:20.039,STATE_CHANGE,-1,0.000,drone=drone4,state=ArrivedToBase
2025-04-06 19:11:20.113,STATE_CHANGE,-1,0.000,drone=drone2,state=Idle
2025-04-06 19:11:20.121,STATE_CHANGE,-1,0.000,drone=drone2,state=EnRoute
2025-04-06 19:11:20.122,FIRE_START,6,0.000,severity=High
2025-04-06 19:11:20.123,RESPONSE_TIME,6,0.001,drone=drone2
2025-04-06 19:11:20.124,DRONE_ASSIGNED,6,1.000,drone=drone2
2025-04-06 19:11:20.186,STATE_CHANGE,-1,0.000,drone=drone9,state=Idle
2025-04-06 19:11:20.192,STATE_CHANGE,-1,0.000,drone=drone9,state=EnRoute
2025-04-06 19:11:20.193,FIRE_START,6,0.000,severity=High
2025-04-06 19:11:20.195,DRONE_ASSIGNED,6,1.000,drone=drone9
2025-04-06 19:11:20.196,STATE_CHANGE,-1,0.000,drone=drone1,state=Idle
2025-04-06 19:11:20.200,STATE_CHANGE,-1,0.000,drone=drone1,state=EnRoute
2025-04-06 19:11:20.201,FIRE_START,6,0.000,severity=High
2025-04-06 19:11:20.202,DRONE_ASSIGNED,6,1.000,drone=drone1
2025-04-06 19:11:23.985,STATE_CHANGE,-1,0.000,drone=drone5,state=DroppingAgent
2025-04-06 19:11:23.986,AGENT_DROP,3,0.000,drone=drone5
2025-04-06 19:11:23.988,FIRE_EXTINGUISHED,3,14.705,drones_used=1
2025-04-06 19:11:23.989,STATE_CHANGE,-1,0.000,drone=drone5,state=ArrivedToBase
2025-04-06 19:11:29.146,STATE_CHANGE,-1,0.000,drone=drone8,state=DroppingAgent
2025-04-06 19:11:29.147,AGENT_DROP,8,0.000,drone=drone8
2025-04-06 19:11:29.149,STATE_CHANGE,-1,0.000,drone=drone8,state=ArrivedToBase
2025-04-06 19:11:29.516,STATE_CHANGE,-1,0.000,drone=drone3,state=Idle
2025-04-06 19:11:29.525,STATE_CHANGE,-1,0.000,drone=drone3,state=EnRoute
2025-04-06 19:11:29.526,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:29.528,RESPONSE_TIME,7,0.002,drone=drone3
2025-04-06 19:11:29.530,DRONE_ASSIGNED,7,1.000,drone=drone3
2025-04-06 19:11:29.534,STATE_CHANGE,-1,0.000,drone=drone4,state=Idle
2025-04-06 19:11:29.540,STATE_CHANGE,-1,0.000,drone=drone4,state=EnRoute
2025-04-06 19:11:29.541,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:29.543,DRONE_ASSIGNED,7,1.000,drone=drone4
2025-04-06 19:11:34.208,STATE_CHANGE,-1,0.000,drone=drone10,state=DroppingAgent
2025-04-06 19:11:34.210,AGENT_DROP,12,0.000,drone=drone10
2025-04-06 19:11:34.211,STATE_CHANGE,-1,0.000,drone=drone10,state=ArrivedToBase
2025-04-06 19:11:34.214,STATE_CHANGE,-1,0.000,drone=drone6,state=DroppingAgent
2025-04-06 19:11:34.215,AGENT_DROP,12,0.000,drone=drone6
2025-04-06 19:11:34.217,STATE_CHANGE,-1,0.000,drone=drone6,state=ArrivedToBase
2025-04-06 19:11:34.280,STATE_CHANGE,-1,0.000,drone=drone7,state=DroppingAgent
2025-04-06 19:11:34.281,AGENT_DROP,12,0.000,drone=drone7
2025-04-06 19:11:34.282,FIRE_EXTINGUISHED,12,25.777,drones_used=3
2025-04-06 19:11:34.284,STATE_CHANGE,-1,0.000,drone=drone7,state=ArrivedToBase
2025-04-06 19:11:38.381,STATE_CHANGE,-1,0.000,drone=drone2,state=DroppingAgent
2025-04-06 19:11:38.383,AGENT_DROP,6,0.000,drone=drone2
2025-04-06 19:11:38.384,STATE_CHANGE,-1,0.000,drone=drone2,state=ArrivedToBase
2025-04-06 19:11:38.449,STATE_CHANGE,-1,0.000,drone=drone1,state=DroppingAgent
2025-04-06 19:11:38.450,AGENT_DROP,6,0.000,drone=drone1
2025-04-06 19:11:38.453,STATE_CHANGE,-1,0.000,drone=drone1,state=ArrivedToBase
2025-04-06 19:11:38.455,STATE_CHANGE,-1,0.000,drone=drone9,state=DroppingAgent
2025-04-06 19:11:38.456,AGENT_DROP,6,0.000,drone=drone9
2025-04-06 19:11:38.458,FIRE_EXTINGUISHED,6,18.256,drones_used=1
2025-04-06 19:11:38.459,STATE_CHANGE,-1,0.000,drone=drone9,state=ArrivedToBase
2025-04-06 19:11:38.602,STATE_CHANGE,-1,0.000,drone=drone5,state=Idle
2025-04-06 19:11:38.609,STATE_CHANGE,-1,0.000,drone=drone5,state=EnRoute
2025-04-06 19:11:38.610,FIRE_START,8,0.000,severity=High
2025-04-06 19:11:38.612,DRONE_ASSIGNED,8,1.000,drone=drone5
2025-04-06 19:11:41.326,STATE_CHANGE,-1,0.000,drone=drone3,state=DroppingAgent
2025-04-06 19:11:41.330,AGENT_DROP,7,0.000,drone=drone3
2025-04-06 19:11:41.334,STATE_CHANGE,-1,0.000,drone=drone3,state=ArrivedToBase
2025-04-06 19:11:41.376,STATE_CHANGE,-1,0.000,drone=drone4,state=DroppingAgent
2025-04-06 19:11:41.379,AGENT_DROP,7,0.000,drone=drone4
2025-04-06 19:11:41.381,STATE_CHANGE,-1,0.000,drone=drone4,state=ArrivedToBase
2025-04-06 19:11:46.923,STATE_CHANGE,-1,0.000,drone=drone8,state=Idle
2025-04-06 19:11:46.933,STATE_CHANGE,-1,0.000,drone=drone8,state=EnRoute
2025-04-06 19:11:46.934,FIRE_START,8,0.000,severity=High
2025-04-06 19:11:46.935,DRONE_ASSIGNED,8,1.000,drone=drone8
2025-04-06 19:11:53.964,STATE_CHANGE,-1,0.000,drone=drone3,state=Idle
2025-04-06 19:11:53.969,STATE_CHANGE,-1,0.000,drone=drone4,state=Idle
2025-04-06 19:11:53.972,STATE_CHANGE,-1,0.000,drone=drone3,state=EnRoute
2025-04-06 19:11:53.974,FIRE_START,8,0.000,severity=High
2025-04-06 19:11:53.975,DRONE_ASSIGNED,8,1.000,drone=drone3
2025-04-06 19:11:53.977,STATE_CHANGE,-1,0.000,drone=drone4,state=EnRoute
2025-04-06 19:11:53.978,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:53.980,DRONE_ASSIGNED,7,1.000,drone=drone4
2025-04-06 19:11:56.200,STATE_CHANGE,-1,0.000,drone=drone5,state=DroppingAgent
2025-04-06 19:11:56.203,AGENT_DROP,8,0.000,drone=drone5
2025-04-06 19:11:56.205,STATE_CHANGE,-1,0.000,drone=drone5,state=ArrivedToBase
2025-04-06 19:11:57.506,STATE_CHANGE,-1,0.000,drone=drone2,state=Idle
2025-04-06 19:11:57.507,STATE_CHANGE,-1,0.000,drone=drone9,state=Idle
2025-04-06 19:11:57.509,STATE_CHANGE,-1,0.000,drone=drone1,state=Idle
2025-04-06 19:11:57.510,STATE_CHANGE,-1,0.000,drone=drone2,state=EnRoute
2025-04-06 19:11:57.511,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:57.512,STATE_CHANGE,-1,0.000,drone=drone9,state=EnRoute
2025-04-06 19:11:57.513,STATE_CHANGE,-1,0.000,drone=drone1,state=EnRoute
2025-04-06 19:11:57.514,FIRE_START,11,0.000,severity=Moderate
2025-04-06 19:11:57.516,RESPONSE_TIME,11,0.002,drone=drone1
2025-04-06 19:11:57.517,DRONE_ASSIGNED,11,1.000,drone=drone1
2025-04-06 19:11:57.518,DRONE_ASSIGNED,7,1.000,drone=drone2
2025-04-06 19:11:57.518,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:57.519,DRONE_ASSIGNED,7,1.000,drone=drone9
2025-04-06 19:12:00.504,STATE_CHANGE,-1,0.000,drone=drone6,state=Idle
2025-04-06 19:12:00.510,STATE_CHANGE,-1,0.000,drone=drone6,state=EnRoute
2025-04-06 19:12:00.511,FIRE_START,11,0.000,severity=Moderate
2025-04-06 19:12:00.512,DRONE_ASSIGNED,11,1.000,drone=drone6
2025-04-06 19:12:00.571,STATE_CHANGE,-1,0.000,drone=drone10,state=Idle
2025-04-06 19:12:00.575,STATE_CHANGE,-1,0.000,drone=drone10,state=EnRoute
2025-04-06 19:12:00.575,FIRE_START,4,0.000,severity=Moderate
2025-04-06 19:12:00.577,RESPONSE_TIME,4,0.002,drone=drone10
2025-04-06 19:12:00.578,DRONE_ASSIGNED,4,1.000,drone=drone10
2025-04-06 19:12:01.201,STATE_CHANGE,-1,0.000,drone=drone7,state=Idle
2025-04-06 19:12:01.204,STATE_CHANGE,-1,0.000,drone=drone7,state=EnRoute
